instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0148_65b3a6ce64,1,1,0,1,1
sage_original_BPP_0149_ae0d334a3b,1,1,0,1,1
sage_original_BPP_0150_57be5c2a06,1,1,0,1,1
sage_original_BPP_0151_c49a27f936,1,1,0,1,1
sage_original_BPP_0152_38409b01fa,1,1,0,1,1
sage_original_BPP_0153_2f535859f9,1,1,0,1,1
sage_original_BPP_0154_4ab53c9cba,1,1,0,1,1
sage_original_BPP_0155_49d3300386,1,1,0,1,1
sage_original_BPP_0156_79c8723c7f,1,1,0,1,1
sage_original_BPP_0157_4055c2b026,1,1,0,1,1
sage_original_BPP_0158_3f85b5e09c,1,1,0,1,1
sage_original_BPP_0159_acfd60ad39,1,1,0,1,1
sage_original_BPP_0160_92d2266f96,1,1,0,1,1
sage_original_BPP_0161_4ee01ba665,1,1,0,1,1
sage_original_BPP_0162_41e0b9a65c,1,1,0,1,1
sage_original_BPP_0163_faca657964,1,1,0,1,1
sage_original_BPP_0164_c77c47410d,1,1,0,1,1
sage_original_BPP_0165_6e34e23afa,1,1,0,1,1
sage_original_BPP_0166_9919734216,1,1,0,1,1
sage_original_BPP_0167_e7226f2fdd,1,1,0,1,1
sage_original_BPP_0168_004213c54b,1,1,0,1,1
sage_original_BPP_0169_884cead777,1,1,0,1,1
sage_original_BPP_0170_29c7890a2a,1,1,0,1,1
sage_original_BPP_0171_1ef0aadabf,1,1,0,1,1
sage_original_BPP_0172_84ca7b76bd,1,1,0,1,1
sage_original_BPP_0173_3e6c38180b,1,1,1,1,1
sage_original_BPP_0174_991d7bf3a4,1,1,0,1,1
sage_original_BPP_0175_428bdbb4c4,1,1,0,1,1
sage_original_BPP_0176_9ae230a8dc,1,1,0,1,1
sage_original_BPP_0177_fd36bf6bb3,1,1,0,1,1
sage_original_BPP_0178_f2104acc30,1,1,0,1,1
sage_original_BPP_0179_d904d37302,1,1,0,1,1
sage_original_BPP_0180_bfb60a7aea,1,1,0,1,1
sage_original_BPP_0181_20edf5feb6,1,1,0,1,1
sage_original_BPP_0182_41f908c47c,1,1,0,1,1
sage_original_BPP_0183_1bef725ebb,1,1,0,1,1
sage_original_BPP_0184_fd59e8ddc7,1,1,0,1,1
sage_original_BPP_0185_55f0362c71,1,1,0,1,1
sage_original_BPP_0186_ff34168cfc,1,1,0,1,1
sage_original_BPP_0187_dfa45ff231,1,1,0,1,1
sage_original_BPP_0188_7da60096ed,1,1,0,1,1
sage_original_BPP_0189_526cd5f400,1,1,0,1,1
sage_original_BPP_0190_21a27e9a0d,1,1,0,1,1
sage_original_BPP_0191_a1e0bf412e,1,1,0,1,1
sage_original_BPP_0192_6714bb98ac,1,1,0,1,1
sage_original_BPP_0193_39f9fe51d1,1,1,0,1,1
sage_original_BPP_0194_63be3aabcf,1,1,0,1,1
sage_original_BPP_0195_04e2861939,1,1,1,1,1
sage_original_BPP_0196_4cee774ed7,1,1,0,1,1
sage_original_BPP_0197_5353bfcb99,1,1,0,1,1
sage_original_BPP_0198_1596a3c4cb,1,1,0,1,1
sage_original_BPP_0199_72754057e6,1,1,0,1,1
sage_original_BPP_0200_499787a2c8,1,1,0,1,1
sage_original_BPP_0201_d107e23856,1,1,0,1,1
sage_original_BPP_0202_7f0e75dcc8,1,1,0,1,1
sage_original_BPP_0203_1453827698,1,1,0,1,1
sage_original_BPP_0204_b01a1da228,1,1,0,1,1
sage_original_BPP_0205_dd29b46c6a,1,1,0,1,1
sage_original_BPP_0206_0efb405fc1,1,1,0,1,1
sage_original_BPP_0207_d2b398a905,1,1,0,1,1
sage_original_BPP_0208_3816b2a8f0,1,1,0,1,1
sage_original_BPP_0209_b62b0ed588,1,1,0,1,1
sage_original_BPP_0210_e008e725dc,1,1,0,1,1
sage_original_BPP_0211_9625dbb3a9,1,1,0,1,1
sage_original_BPP_0212_6c18e397d2,1,1,0,1,1
sage_original_BPP_0213_7b086f461c,1,1,0,1,1
sage_original_BPP_0214_1136732482,1,1,0,1,1
sage_original_BPP_0215_3e393c68ad,1,1,0,1,1
sage_original_BPP_0216_e71ac7ef72,1,1,0,1,1
sage_original_BPP_0217_ed6e5dcc8b,1,1,0,1,1
sage_original_BPP_0218_dccc060724,1,1,0,1,1
sage_original_BPP_0219_2b870456fc,1,1,0,1,1
sage_original_BPP_0220_626795784d,1,1,0,1,1
sage_original_BPP_0221_741a005327,1,1,0,1,1
sage_original_BPP_0222_1a7407e863,1,1,0,1,1
sage_original_BPP_0223_3b45b1b398,1,1,0,1,1
sage_original_BPP_0224_e315ab4026,1,1,0,1,1
sage_original_BPP_0225_fc4277c9a3,1,1,0,1,1
sage_original_BPP_0226_cadb0c02cf,1,1,0,1,1
sage_original_BPP_0227_d4db19db94,1,1,0,1,1
sage_original_BPP_0228_bd19d8c258,1,1,0,1,1
sage_original_BPP_0229_fd3843ee77,1,1,0,1,1
sage_original_BPP_0230_13aacc5df6,1,1,0,1,1
sage_original_BPP_0231_da40350748,1,1,0,1,1
sage_original_BPP_0232_a59c7ce5d6,1,1,0,1,1
sage_original_BPP_0233_0f2dc45f97,1,1,0,1,1
sage_original_BPP_0234_d5911c3939,1,1,0,1,1
sage_original_BPP_0235_9e2a65d760,1,1,0,1,1
sage_original_BPP_0236_3ba34a1323,1,1,0,1,1
sage_original_BPP_0237_8d46e40096,1,1,0,1,1
sage_original_BPP_0238_983900a06c,1,1,0,1,1
sage_original_BPP_0239_4b988697d9,1,1,0,1,1
sage_original_BPP_0240_5196a2898c,1,1,0,1,1
sage_original_BPP_0241_e4f5510c42,1,1,0,1,1
sage_original_BPP_0242_650af1fc18,1,1,0,1,1
sage_original_BPP_0243_fc37fa24a7,1,1,0,1,1
sage_original_BPP_0244_7df440eb13,1,1,0,1,1
sage_original_BPP_0245_d56274aab8,1,1,0,1,1
sage_original_BPP_0246_b9a8130458,1,1,0,1,1
sage_original_BPP_0247_db8a33bd06,1,1,0,1,1
sage_original_BPP_0248_bb0be30237,1,1,0,1,1
sage_original_BPP_0249_80e9bc2c69,1,1,0,1,1
sage_original_BPP_0250_49d1e742be,1,1,0,1,1
sage_original_BPP_0251_8d89aa734b,1,1,0,1,1
sage_original_BPP_0252_b6020d07ec,1,1,0,1,1
sage_original_BPP_0253_9f46bcd773,1,1,0,1,1
sage_original_BPP_0254_9c94d7a220,1,1,0,1,1
sage_original_BPP_0255_6a6dc29187,1,1,0,1,1
sage_original_BPP_0256_d93a53f8d3,1,1,0,1,1
sage_original_BPP_0257_390369f33b,1,1,0,1,1
sage_original_BPP_0258_477c0a55c0,1,1,0,1,1
sage_original_BPP_0259_c72dad37a1,1,1,0,1,1
sage_original_BPP_0260_36990e4642,1,1,0,1,1
sage_original_BPP_0261_3bd447d23d,1,1,0,1,1
sage_original_BPP_0262_18111df29c,1,1,0,1,1
sage_original_BPP_0263_e20baf96e1,1,1,0,1,1
sage_original_BPP_0264_b0be158395,1,1,0,1,1
sage_original_BPP_0265_bdb5074d4f,1,1,0,1,1
sage_original_BPP_0266_1f029de0d8,1,1,0,1,1
sage_original_BPP_0267_6e1e2a7d96,1,1,0,1,1
sage_original_BPP_0268_cc3977dd9c,1,1,0,1,1
sage_original_BPP_0269_9eb4b63673,1,1,0,1,1
sage_original_BPP_0270_9f1d375421,1,1,0,1,1
sage_original_BPP_0271_dfb6747614,1,1,0,1,1
sage_original_BPP_0272_dda0d83abc,1,1,0,1,1
sage_original_BPP_0273_6886bfb19a,1,1,0,1,1
sage_original_BPP_0274_1e3cf9e8c5,1,1,0,1,1
sage_original_BPP_0275_03373e1515,1,1,0,1,1
sage_original_BPP_0276_4e3b76d0f6,1,1,0,1,1
sage_original_BPP_0277_3a7b1684d9,1,1,0,1,1
sage_original_BPP_0278_fd8f9b155c,1,1,0,1,1
sage_original_BPP_0279_6d2d041a66,1,1,0,1,1
sage_original_BPP_0280_32c5f6d785,1,1,0,1,1
sage_original_BPP_0281_3e61ed9215,1,1,0,1,1
sage_original_BPP_0282_322b8372d9,1,1,0,1,1
sage_original_BPP_0283_b881311afb,1,1,0,1,1
sage_original_BPP_0284_f17cf6868b,1,1,0,1,1
sage_original_BPP_0285_3ed62f5922,1,1,0,1,1
sage_original_BPP_0286_d119ec667c,1,1,0,1,1
sage_original_BPP_0287_067f7d46a4,1,1,0,1,1
sage_original_BPP_0288_675b54078a,1,1,0,1,1
sage_original_BPP_0289_c9298b9601,1,1,0,1,1
sage_original_BPP_0290_5edb1f6dc8,1,1,0,1,1
sage_original_BPP_0291_2ca85359ae,1,1,0,1,1
sage_original_BPP_0292_e79354764d,1,1,0,1,1
sage_original_BPP_0293_d3a46fec85,1,1,0,1,1
sage_original_BPP_0294_298be6e301,1,1,0,1,1
sage_original_BPP_0295_b708163838,1,1,0,1,1
sage_original_BPP_0296_cfa7ec8064,1,1,0,1,1
sage_original_BPP_0297_7e79513a87,1,1,0,1,1
sage_original_BPP_0298_c871a89dab,1,1,0,1,1
sage_original_BPP_0299_5b8f7aecfd,1,1,0,1,1
sage_original_BPP_0300_526cba3dbe,1,1,0,1,1
sage_original_BPP_0301_320aadc34b,1,1,0,1,1
sage_original_BPP_0302_a4c9770fa2,1,1,0,1,1
sage_original_BPP_0303_d7690c15e5,1,1,0,1,1
sage_original_BPP_0304_3acd2333e6,1,1,0,1,1
sage_original_BPP_0305_fad37a8f75,1,1,0,1,1
sage_original_BPP_0306_0ba2ec4da9,1,1,0,1,1
sage_original_BPP_0307_0d3e07bdab,1,1,0,1,1
sage_original_BPP_0308_0a404d5079,1,1,0,1,1
sage_original_BPP_0309_7c5686ae70,1,1,0,1,1
sage_original_BPP_0310_036d6c4979,1,1,0,1,1
sage_original_BPP_0311_e4a16eb8c6,1,1,0,1,1
sage_original_BPP_0312_c690b5bbed,1,1,0,1,1
sage_original_BPP_0313_77fb296768,1,1,0,1,1
sage_original_BPP_0314_4f7009949b,1,1,0,1,1
sage_original_BPP_0315_45c3e8055e,1,1,0,1,1
sage_original_BPP_0316_1ec0cfc6d5,1,1,0,1,1
sage_original_BPP_0317_fde1d80e9c,1,1,0,1,1
sage_original_BPP_0318_235de28ecd,1,1,0,1,1
sage_original_BPP_0319_d5a1509f81,1,1,0,1,1
sage_original_BPP_0320_75f29404d8,1,1,0,1,1
sage_original_BPP_0321_4cf63f2f0c,1,1,0,1,1
sage_original_BPP_0322_74dd1cdd49,1,1,0,1,1
sage_original_BPP_0323_f4151de0a0,1,1,0,1,1
sage_original_BPP_0324_8fa8248988,1,1,0,1,1
sage_original_BPP_0325_8121354a68,1,1,0,1,1
sage_original_BPP_0326_dc21bc968d,1,1,1,1,1
sage_original_BPP_0327_ad0c903d05,1,1,0,1,1
sage_original_BPP_0328_6e221f435f,1,1,0,1,1
sage_original_BPP_0329_4238cfe1b5,1,1,0,1,1
sage_original_BPP_0330_ae788bc149,1,1,0,1,1
sage_original_BPP_0331_61c06b54e8,1,1,0,1,1
sage_original_BPP_0332_461d96f562,1,1,0,1,1
sage_original_BPP_0333_7283c159df,1,1,0,1,1
sage_original_BPP_0334_8d77d8212d,1,1,0,1,1
sage_original_BPP_0335_74f674d9f8,1,1,0,1,1
sage_original_BPP_0336_4df61886e0,1,1,0,1,1
sage_original_BPP_0337_ba2eeee15d,1,1,0,1,1
sage_original_BPP_0338_5ad9642102,1,1,0,1,1
sage_original_BPP_0339_124cab8b9f,1,1,0,1,1
sage_original_BPP_0340_94a86f0bc6,1,1,0,1,1
sage_original_BPP_0341_ec5d5a914f,1,1,0,1,1
sage_original_BPP_0342_e6638f0e54,1,1,0,1,1
sage_original_BPP_0343_da83a0cd36,1,1,0,1,1
sage_original_BPP_0344_7679180e34,1,1,0,1,1
sage_original_BPP_0345_4dab110aab,1,1,0,1,1
sage_original_BPP_0346_dfce060d6f,1,1,0,1,1
sage_original_BPP_0347_78013ef2de,1,1,0,1,1
sage_original_BPP_0348_32bc7639d9,1,1,0,1,1
sage_original_BPP_0349_3fa41fb624,1,1,0,1,1
sage_original_BPP_0350_b9876025b3,1,1,0,1,1
sage_original_BPP_0351_17d76684fc,1,1,0,1,1
sage_original_BPP_0352_906e6627a4,1,1,0,1,1
sage_original_BPP_0353_3c0dba8117,1,1,0,1,1
sage_original_BPP_0354_8a1ce05848,1,1,0,1,1
sage_original_BPP_0355_8edd73f211,1,1,0,1,1
sage_original_BPP_0356_be068336dd,1,1,0,1,1
sage_original_BPP_0357_13de1b3d47,1,1,0,1,1
sage_original_BPP_0358_b49b1dd1d4,1,1,0,1,1
sage_original_BPP_0359_03a56477d1,1,1,0,1,1
sage_original_BPP_0360_bf03970490,1,1,0,1,1
sage_original_BPP_0361_c9f00459ff,1,1,0,1,1
sage_original_BPP_0362_038186f7e4,1,1,0,1,1
sage_original_BPP_0363_bab7a47abb,1,1,0,1,1
sage_original_BPP_0364_1d3487bb8c,1,1,0,1,1
sage_original_BPP_0365_46d15ef2aa,1,1,0,1,1
sage_original_BPP_0366_e185f33508,1,1,0,1,1
sage_original_BPP_0367_cdfbc20589,1,1,0,1,1
sage_original_BPP_0368_96d0b39220,1,1,0,1,1
sage_original_BPP_0369_b7d9d73f5c,1,1,0,1,1
sage_original_BPP_0370_aa22bb40a1,1,1,0,1,1
sage_original_BPP_0371_8a3be02de8,1,1,0,1,1
sage_original_BPP_0372_3672b41713,1,1,0,1,1
sage_original_BPP_0373_ffbea6204d,1,1,0,1,1
sage_original_BPP_0374_f3bb1a0206,1,1,0,1,1
sage_original_BPP_0375_ee7ea94182,1,1,0,1,1
sage_original_BPP_0376_df5f7de4f1,1,1,0,1,1
sage_original_BPP_0377_63f22470c0,1,1,0,1,1
sage_original_BPP_0378_65d7efa449,1,1,0,1,1
sage_original_BPP_0379_4e00432411,1,1,0,1,1
sage_original_BPP_0380_3e7940d11d,1,1,0,1,1
sage_original_BPP_0381_54b9297f07,1,1,0,1,1
sage_original_BPP_0382_63eebffc86,1,1,0,1,1
sage_original_BPP_0383_ee2e2f5643,1,1,0,1,1
sage_original_BPP_0384_b784a96922,1,1,0,1,1
sage_original_BPP_0385_ad564c9da6,1,1,0,1,1
sage_original_BPP_0386_65fd039080,1,1,0,1,1
sage_original_BPP_0387_6f6f176b3c,1,1,0,1,1
sage_original_BPP_0388_6eaf1a5327,1,1,0,1,1
sage_original_BPP_0389_37c68591b5,1,1,0,1,1
sage_original_BPP_0390_f92e669afa,1,1,0,1,1
sage_original_BPP_0391_192735a225,1,1,0,1,1
sage_original_BPP_0392_c6e4f8fbd9,1,1,0,1,1
sage_original_BPP_0393_7039e3ce4f,1,1,0,1,1
sage_original_BPP_0394_56483f23eb,1,1,0,1,1
sage_original_BPP_0395_4a5d6ec093,1,1,0,1,1
sage_original_BPP_0396_7bd8f3a415,1,1,0,1,1
sage_original_BPP_0397_a6831501f6,1,1,0,1,1
sage_original_BPP_0398_0d669d13fd,1,1,0,1,1
sage_original_BPP_0399_b4e25fd62a,1,1,0,1,1
sage_original_BPP_0400_10f299b191,1,1,0,1,1
sage_original_BPP_0401_ed5a781ef3,1,1,0,1,1
sage_original_BPP_0402_7b3105dd1c,1,1,0,1,1
sage_original_BPP_0403_93d3a216eb,1,1,0,1,1
sage_original_BPP_0404_ca11f48c9b,1,1,0,1,1
sage_original_BPP_0405_a9f87c0cb4,1,1,0,1,1
sage_original_BPP_0406_b695ab5ccb,1,1,0,1,1
sage_original_BPP_0407_eb0829fc8c,1,1,0,1,1
sage_original_BPP_0408_2eb531e406,1,1,0,1,1
sage_original_BPP_0409_8890eb671a,1,1,0,1,1
sage_original_BPP_0410_d5b9b9beea,1,1,0,1,1
sage_original_BPP_0411_03c094cc0b,1,1,0,1,1
sage_original_BPP_0412_965824706f,1,1,0,1,1
sage_original_BPP_0413_4c1355a6f5,1,1,0,1,1
sage_original_BPP_0414_b9f3437d6c,1,1,0,1,1
sage_original_BPP_0415_c25e0c5a7a,1,1,0,1,1
sage_original_BPP_0416_b5afe4d35f,1,1,0,1,1
sage_original_BPP_0417_1504e8a2db,1,1,0,1,1
sage_original_BPP_0418_b944196607,1,1,0,1,1
sage_original_BPP_0419_fedb24f5fc,1,1,0,1,1
sage_original_BPP_0420_78a10b82a1,1,1,0,1,1
sage_original_BPP_0421_d9406d71f1,1,1,0,1,1
sage_original_BPP_0422_00680fa94b,1,1,0,1,1
sage_original_BPP_0423_9b8dc8a62b,1,1,0,1,1
sage_original_BPP_0424_491ee62895,1,1,0,1,1
sage_original_BPP_0425_7e4f8278be,1,1,0,1,1
sage_original_BPP_0426_2596c0aede,1,1,0,1,1
sage_original_BPP_0427_cf088945c3,1,1,0,1,1
sage_original_BPP_0428_d1bf465b08,1,1,0,1,1
sage_original_BPP_0429_3150952289,1,1,0,1,1
sage_original_BPP_0430_dab44eb19f,1,1,0,1,1
sage_original_BPP_0431_6ba23643d2,1,1,0,1,1
sage_original_BPP_0432_78995e2619,1,1,0,1,1
sage_original_BPP_0433_63891eacb8,1,1,0,1,1
sage_original_BPP_0434_da7a73b8ab,1,1,0,1,1
sage_original_BPP_0435_e3fc85ea18,1,1,0,1,1
sage_original_BPP_0436_7071d101b3,1,1,0,1,1
sage_original_BPP_0437_9bd7d600ba,1,1,0,1,1
sage_original_BPP_0438_11ba76b86b,1,1,0,1,1
sage_original_BPP_0439_0c66761b36,1,1,0,1,1
sage_original_BPP_0440_cb6187d646,1,1,0,1,1
sage_original_BPP_0441_70a247f339,1,1,0,1,1
sage_original_BPP_0442_9a1453435b,1,1,0,1,1
sage_original_BPP_0443_81b0cce3a5,1,1,0,1,1
sage_original_BPP_0444_b89ae1cdf2,1,1,0,1,1
sage_original_BPP_0445_5521af92b8,1,1,0,1,1
sage_original_BPP_0446_8a3dd843f7,1,1,0,1,1
sage_original_BPP_0447_78861b15b6,1,1,0,1,1
sage_original_BPP_0448_e28dc975b2,1,1,0,1,1
sage_original_BPP_0449_dbe4f6c760,1,1,0,1,1
sage_original_BPP_0450_7eb5bf04a7,1,1,0,1,1
sage_original_BPP_0451_096f8f42d7,1,1,0,1,1
sage_original_BPP_0452_274a133400,1,1,0,1,1
sage_original_BPP_0453_e81b4d368f,1,1,0,1,1
sage_original_BPP_0454_d2c75e3b5a,1,1,0,1,1
sage_original_BPP_0455_1bcde959fe,1,1,0,1,1
sage_original_BPP_0456_e784e05059,1,1,0,1,1
sage_original_BPP_0457_3c7e4242b4,1,1,0,1,1
sage_original_BPP_0458_efc7c193ac,1,1,0,1,1
sage_original_BPP_0459_a753bc10c8,1,1,0,1,1
sage_original_BPP_0460_a7130d8375,1,1,0,1,1
sage_original_BPP_0461_1d204f77aa,1,1,0,1,1
sage_original_BPP_0462_01541a664c,1,1,0,1,1
sage_original_BPP_0463_7f1aea83e9,1,1,0,1,1
sage_original_BPP_0464_4fd4da9292,1,1,0,1,1
sage_original_BPP_0465_1bf81a48ab,1,1,0,1,1
