instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0108_210566ae89,0.020287,0.029029,0.005033,0.014684,0.019915
sage_original_BPP_0109_ebfc409e73,0.022966,0.032377,0.005236,0.016224,0.016968
sage_original_BPP_0110_3dad17cb40,0.021729,0.036895,0.005859,0.033988,0.023367
sage_original_BPP_0111_6926d05b64,0.042646,0.037713,0.005902,0.022188,0.061276
sage_original_BPP_0112_d5bb6881c6,0.021998,0.029734,0.005107,0.014944,0.040059
sage_original_BPP_0113_a8e036b579,0.019629,0.055330,0.028872,0.040876,0.017847
sage_original_BPP_0114_a0fb36dd60,0.040486,0.037710,0.030526,0.040705,0.044689
sage_original_BPP_0115_9cf3093205,0.044576,0.053120,0.005909,0.017434,0.023877
sage_original_BPP_0116_de146e1c67,0.019687,0.032583,0.005378,0.017808,0.017723
sage_original_BPP_0117_8f62f3084b,0.022176,0.056729,0.005497,0.016570,0.015241
sage_original_BPP_0118_c43acbab59,0.020247,0.028772,0.023337,0.014723,0.020518
sage_original_BPP_0119_d76a3dc78d,0.020332,0.027021,0.004677,0.014656,0.015644
sage_original_BPP_0120_2e7e5af4d2,0.021698,0.034997,0.005782,0.017838,0.017371
sage_original_BPP_0121_47156f7917,0.021395,0.029458,0.025958,0.016454,0.016801
sage_original_BPP_0122_f5c7dc9596,0.023823,0.056175,0.005740,0.017895,0.039583
sage_original_BPP_0123_1982460d95,0.021732,0.033520,0.005429,0.016740,0.016945
sage_original_BPP_0124_004b9fc3ab,0.024231,0.037563,0.005978,0.017740,0.024391
sage_original_BPP_0125_3c18a312c0,0.019805,0.030815,0.005382,0.017073,0.038669
sage_original_BPP_0126_cf0c2a33e6,0.022195,0.042995,0.008590,0.038477,0.019437
sage_original_BPP_0127_2815c86007,0.020188,0.026453,0.004666,0.033090,0.014971
sage_original_BPP_0128_324ccf4a1a,0.024987,0.064976,0.043838,0.025122,0.031362
sage_original_BPP_0129_6102edaf96,0.043721,0.061168,0.009250,0.025868,0.039684
sage_original_BPP_0130_e5d3607449,0.020108,0.037028,0.008054,0.024690,0.040140
sage_original_BPP_0131_0aef5b3de4,0.020176,0.029117,0.005030,0.031039,0.019750
sage_original_BPP_0132_0d4360d065,0.020559,0.026193,0.004668,0.013956,0.014862
sage_original_BPP_0133_0c46e44658,0.021250,0.059626,0.008039,0.022165,0.043363
sage_original_BPP_0134_7ddb095217,0.043597,0.046397,0.021652,0.033777,0.014846
sage_original_BPP_0135_a84ce41e59,0.038306,0.034663,0.023262,0.018209,0.048308
sage_original_BPP_0136_1b221a2ee5,0.021618,0.065504,0.022740,0.023136,0.045988
sage_original_BPP_0137_7c01066666,0.039338,0.057158,0.023169,0.040260,0.057904
sage_original_BPP_0138_430515778c,0.041155,0.051713,0.023661,0.015327,0.038349
sage_original_BPP_0139_89cacbd5ce,0.037106,0.027885,0.004796,0.014677,0.015637
sage_original_BPP_0140_a097ce4bed,0.039974,0.045743,0.005926,0.017784,0.047208
sage_original_BPP_0141_c58f270a6a,0.020292,0.031479,0.005157,0.038016,0.036318
sage_original_BPP_0142_3fc5ed7642,0.042449,0.030745,0.038764,0.014984,0.036507
sage_original_BPP_0143_ee2ee09417,0.043650,0.055045,0.005425,0.015552,0.015110
sage_original_BPP_0144_d61837c1df,0.045521,0.066509,0.030583,0.019035,0.043864
sage_original_BPP_0145_063dc7c6f9,0.023508,0.054976,0.028756,0.033257,0.021327
sage_original_BPP_0146_c6c858b860,0.024818,0.033268,0.005485,0.036772,0.017956
sage_original_BPP_0147_5dcc9c3f57,0.039296,0.032492,0.022284,0.035569,0.017230
sage_original_BPP_0148_65b3a6ce64,0.023032,0.045805,0.027340,0.020686,0.024586
sage_original_BPP_0149_ae0d334a3b,0.023603,0.088518,0.023792,0.018058,0.022119
sage_original_BPP_0150_57be5c2a06,0.020448,0.037453,0.028921,0.017066,0.021652
sage_original_BPP_0151_c49a27f936,0.019199,0.031654,0.005386,0.015069,0.017649
sage_original_BPP_0152_38409b01fa,0.022121,0.038505,0.006050,0.017579,0.023562
sage_original_BPP_0153_2f535859f9,0.020698,0.029199,0.005064,0.014651,0.020622
sage_original_BPP_0154_4ab53c9cba,0.041055,0.048985,0.005250,0.031025,0.015110
sage_original_BPP_0155_49d3300386,0.042876,0.050907,0.021301,0.034015,0.042462
sage_original_BPP_0156_79c8723c7f,0.019472,0.031842,0.005536,0.017397,0.017710
sage_original_BPP_0157_4055c2b026,0.020916,0.028872,0.005074,0.014700,0.020307
sage_original_BPP_0158_3f85b5e09c,0.042429,0.039159,0.029500,0.026001,0.021457
sage_original_BPP_0159_acfd60ad39,0.021392,0.047429,0.004701,0.014776,0.014998
sage_original_BPP_0160_92d2266f96,0.020393,0.026490,0.004785,0.033135,0.037078
sage_original_BPP_0161_4ee01ba665,0.019854,0.054199,0.006157,0.021091,0.021412
sage_original_BPP_0162_41e0b9a65c,0.021079,0.054660,0.007856,0.016108,0.019854
sage_original_BPP_0163_faca657964,0.041286,0.052516,0.005352,0.016409,0.045972
sage_original_BPP_0164_c77c47410d,0.044274,0.040201,0.005752,0.041802,0.018963
sage_original_BPP_0165_6e34e23afa,0.046706,0.040720,0.006297,0.043194,0.043545
sage_original_BPP_0166_9919734216,0.022601,0.029438,0.022131,0.015725,0.039931
sage_original_BPP_0167_e7226f2fdd,0.048127,0.057447,0.005879,0.043632,0.036348
sage_original_BPP_0168_004213c54b,0.021793,0.032950,0.026450,0.018140,0.018208
sage_original_BPP_0169_884cead777,0.039983,0.059062,0.027299,0.018143,0.025980
sage_original_BPP_0170_29c7890a2a,0.025442,0.062895,0.005970,0.018925,0.048900
sage_original_BPP_0171_1ef0aadabf,0.045736,0.038238,0.005734,0.037541,0.029570
sage_original_BPP_0172_84ca7b76bd,0.043540,0.033746,0.005292,0.039764,0.041765
sage_original_BPP_0173_3e6c38180b,0.018921,0.017920,0.026694,0.002747,0.002739
